,Position,Team Name,Bed Number,Category,Time M:S,Year
0,1,Planet Steel,2,Mfc,13:14.0,2015
1,2,Harrogate Harriers,1,Mfc,13:14.3,2015
2,3,Nidd Valley Road Runners Mens,4,Mfc,14:22.8,2015
3,4,Ripon Runners Men,3,Mfc,14:48.0,2015
4,5,Guardian Alarms,12,Mf,15:01.8,2015
5,6,Castle Clinic,13,Mf,15:07.8,2015
6,7,Knaresborough Striders Men,5,Mfc,15:08.2,2015
7,8,G H Brooks Team 1,10,Mf,15:10.2,2015
8,9,Wacky Racers,7,Mf,15:12.8,2015
9,10,Globe Street Trotters,11,Mf,15:13.4,2015
10,11,Harrogate Tri Club,6,Mfc,15:39.6,2015
11,12,Flying Pullman,45,Xf,15:41.8,2015
12,13,Piccadilly Men,8,Mf,15:46.2,2015
13,14,Welly Wheelers,9,Mf,15:49.1,2015
14,15,Oatlands Infants Schools Mens,18,Mf,15:53.2,2015
15,16,Stephenson's Rockets,23,Mf,15:56.9,2015
16,17,G H Brooks Team 2,15,Mf,16:07.2,2015
17,18,Harrogate Rugby Racers,34,Mjf,16:19.1,2015
18,19,Fishers Till We Die,16,Mf,16:21.1,2015
19,20,Knaresborough Rugby Club,24,Mf,16:27.5,2015
20,21,Flying Mechanics - HACS 2,25,Me,16:28.9,2015
21,22,Harrogate Young Life Juniors,22,Mjf,16:32.0,2015
22,23,The Half Moon,14,Mf,16:36.1,2015
23,24,Knaresborough Town Football Club,26,Mjf,16:53.2,2015
24,25,Ripon Runners Girls,17,Ffc,17:11.6,2015
25,26,The Young Ones,29,Mf,17:36.0,2015
26,27,Tomrods Men of Steel,36,Mf,17:37.2,2015
27,28,Harrogate Racers For Marslands Timber,40,Xf,17:37.6,2015
28,29,Welly Wheeners,56,Xf,17:53.5,2015
29,31,Armed Forces Fitness Harrogate,38,Xf,17:56.3,2015
30,32,1st Knaresborough Scouts,47,Me,18:15.5,2015
31,33,Piccadilly Plodders,37,Mf,18:17.8,2015
32,34,St Johns Juggernauts,31,Mf,18:18.7,2015
33,35,The Rocket Men,49,Mf,18:21.2,2015
34,36,Meadowside Malingerers,32,Mf,18:31.7,2015
35,37,Scotton Scorchers JFC,41,Mf,18:38.5,2015
36,38,Knaresborough Silver Band,46,Me,18:55.3,2015
37,39,Free Style Kinetics - The J P Project,44,Xf,18:55.4,2015
38,40,Welly Wheelettes,43,Ff,19:06.6,2015
39,41,Killer Queens Nippers Men,48,Mf,19:07.6,2015
40,42,Turner's Tearaways,33,Me,19:07.9,2015
41,43,The Minions,39,Xf,19:09.9,2015
42,44,Wyrill's Whirlwind,42,Xf,19:12.7,2015
43,45,The Dazzling Bobbies,55,Me,19:29.1,2015
44,46,Commercial Estates Group,61,Mf,19:35.7,2015
45,47,Green-tech Gladiators,35,Me,19:52.7,2015
46,48,M H S Army,51,Me,20:50.6,2015
47,49,Bebra Oldies,30,Mf,21:07.5,2015
48,50,HACS Cultured Construction Workers,50,Me,21:11.9,2015
49,51,Manning Stainton,63,Me,21:12.9,2015
50,52,Tewit Youth Band,65,Me,21:30.9,2015
51,53,Striders Ladies Blue Bullet Flyers,20,Ffc,21:45.7,2015
52,54,Savaged By A Bed Sheep,85,Mne,21:46.0,2015
53,55,Nuffield Health,66,Xe,21:48.6,2015
54,57,Piccadilly Fillies,57,Ff,22:05.9,2015
55,58,Harrogate Round Table,67,Me,22:08.0,2015
56,59,Team CNG,54,Xe,22:12.7,2015
57,60,The Bed Hot Chilli Peppers,52,Me,22:19.4,2015
58,61,Lexy's Midnight Runners,60,Xfc,22:41.4,2015
59,62,The Golden Girls,53,Fe,22:42.5,2015
60,63,Raworths Runners,88,Xne,22:46.6,2015
61,64,Taylors of Harrogate,76,Xe,22:56.4,2015
62,65,AFF Stray Birds,21,Fnfc,23:08.0,2015
63,66,Aspin School Avengers,86,Xe,23:18.8,2015
64,68,Jigsaw Joinery,59,Mf,23:28.7,2015
65,69,Oatlands Infants School Ladies,79,Fe,23:31.0,2015
66,70,The Mighty Claro,80,Me,23:34.8,2015
67,71,Nidd Valley Road Runners Ladies,19,Ffc,23:35.4,2015
68,72,Knaresborough Pool,69,Xf,23:56.2,2015
69,73,Meadowside Maidens,64,Ff,23:58.8,2015
70,74,Pelsis Rat Racers,78,Xnf,24:07.3,2015
71,75,Humberston North Sea Lions Club,70,Me,24:10.5,2015
72,76,Hiscox,62,Mnf,24:35.9,2015
73,77,High Speed Bed Capers,72,Me,24:49.8,2015
74,78,The ABC Team,81,Mne,24:53.6,2015
75,79,Happy Feet,90,Fe,26:31.7,2015
76,80,Manchester Boys,82,Me,26:35.6,2015
77,81,The Flying Fish,83,Mne,26:45.8,2015
78,82,So Sozzled Crew,89,Fe,27:35.4,2015
79,83,St Johns PTA 'a' Team,68,Xe,37:35.5,2015
80,84,Churches Together Ladies Team,73,Fe,27:47.9,2015
81,85,Over The Rainbows,77,Fe,28:10.6,2015
82,86,The Bed-Vroom Bombers,87,Xne,28:13.5,2015
83,87,St Michaels Hospice Staff,74,Fe,28:29.8,2015
84,88,Team Red Beer,75,Xe,28:37.4,2015
85,89,Scrummy Mummies,71,Fe,29:08.8,2015
86,90,The Swiss Rolls,84,Mne,29:49.3,2015
87,1,GH Brooks,2,Mf,13:23.0,2018
88,2,Ripon Runners Men,1,Mfc,14:07.6,2018
89,3,Knaresborough Striders Men,3,Mfc,14:14.1,2018
90,4,The Half Moon,4,Mf,14:52.5,2018
91,5,Nidd Valley Men's B Team,8,Mfc,15:05.3,2018
92,6,David Lloyd Harrogate,18,Mf,15:17.2,2018
93,7,Guardian Alarms,7,Mf,15:28.2,2018
94,8,Oatlands Junior School Men,9,Mf,15:32.4,2018
95,9,Hymas Blue Bullet Flyers,13,Mfc,15:34.0,2018
96,10,Welly Wheelers,5,Mf,15:43.7,2018
97,11,Knaresborough Rugby Club,12,Mf,15:54.8,2018
98,12,St.John Fisher School,11,Mf,16:01.0,2018
99,13,Flying Pullman,6,Xf,16:09.7,2018
100,14,Ripon Fire Station,16,MnA,16:17.5,2018
101,15,Harrogate Harriers Miserable Old Veterans,33,Mfc,16:20.3,2018
102,16,Parkrunners,14,Xf,16:23.2,2018
103,17,CNG,36,Mf,16:28.7,2018
104,18,The Plodders,22,Mf,16:45.0,2018
105,19,Stephenson's Rockets,10,Mf,16:49.1,2018
106,20,Ripon Runners Girls,23,Ffc,17:02.7,2018
107,21,Mott MacDonald Leeds,15,Mf,17:08.4,2018
108,22,Pelsis Flyers,17,Mf,17:18.0,2018
109,23,Shipton's Shifters,29,Me,17:18.1,2018
110,24,The Rocket Men,19,Mf,17:26.5,2018
111,25,Meadowside Malingerers,26,Me,17:26.9,2018
112,26,Welly Wheeners,21,Xf,17:38.0,2018
113,27,Six Pack,20,Mf,17:41.3,2018
114,28,Bed Zeppelin,48,Mf,17:50.5,2018
115,29,CrossFit Harrogate,43,Xf,17:53.2,2018
116,30,Techbuyer Ltd,46,Mf,17:55.3,2018
117,31,Pannal Dental Clinic,34,Mnf,17:58.0,2018
118,32,Mancraft,51,Mne,18:01.0,2018
119,33,SESKU Little Un,52,Me,18:02.8,2018
120,34,Oatlands Infant School Team,44,Xe,18:07.6,2018
121,35,Welly Wheelettes,27,Ff,18:09.9,2018
122,36,Nidd Valley Ladies Team,56,Ffc,18:13.8,2018
123,37,Harrogate Round Table,30,Mf,18:27.7,2018
124,38,JP's Mini Disciples,79,Xnjf,18:31.9,2018
125,39,AFF,58,Xf,18:33.5,2018
126,40,RAF Menwith Hill,40,MA,18:37.5,2018
127,41,Tewit Youth Band,55,Mje,18:51.3,2018
128,42,Clarity Clodhoppers,39,Xf,18:58.8,2018
129,43,Knaresborough Striders Ladies,71,Ffc,19:02.9,2018
130,44,HACS 1,37,Me,19:05.6,2018
131,45,Aspin Avengers,45,Me,19:05.9,2018
132,46,Piston Broke,67,Xe,19:12.2,2018
133,47,"Saint John's PTA ""B"" Team",62,Xne,19:14.7,2018
134,48,1st Scriven Scouts sponsored by CNG,64,Mjf,19:24.6,2018
135,49,Knaresborough Strollers,32,Mf,19:31.3,2018
136,50,JP's Disciples of Fitness,24,Mf,19:32.8,2018
137,51,1st Knaresborough Scouts,63,Xje,19:33.0,2018
138,52,Dads of Goldsborough School,50,Me,19:33.4,2018
139,53,Welly Wheelies,59,Xjf,19:33.8,2018
140,54,HACS 2,38,Me,19:36.9,2018
141,55,Harrison Spinks 1,72,Xf,19:42.8,2018
142,56,Piccadilly Players,57,Xf,19:44.2,2018
143,57,The Transplants,53,Mne,19:53.6,2018
144,58,ifm electronic,54,Mf,19:56.0,2018
145,59,HMCA,87,Xne,19:56.7,2018
146,60,CEG,31,Mf,19:59.6,2018
147,61,The Froebelian Flyers!,60,Mne,20:17.3,2018
148,62,Team Sanderson,83,Xe,20:29.2,2018
149,63,The Juggernauts,41,Mf,20:30.7,2018
150,64,"Saint John's PTA ""A"" Team",61,Xe,20:33.3,2018
151,65,Harrison Spinks 2,73,Xf,20:35.1,2018
152,66,Turner's Tearaways,47,Mf,20:36.2,2018
153,67,Oatlands Junior School Ladies,42,Ff,20:38.5,2018
154,68,Taylors of Harrogate,49,Xe,20:52.0,2018
155,69,Meadowside Maidens,81,Fe,21:05.6,2018
156,70,Skylarks,65,Ff,21:13.2,2018
157,71,Scotton Scorchers,74,Fjf,21:13.7,2018
158,72,Pelsis Rat Racers,85,Xe,21:14.4,2018
159,73,Rungs and Hoses,35,MA,21:16.2,2018
160,74,Over The Rainbows,82,Fe,21:25.7,2018
161,75,Mums on the Run,76,Fe,21:34.5,2018
162,76,Ladies On The Loose,84,Fe,21:42.4,2018
163,77,The Y.A.S. Lost Boys,69,MA,21:43.9,2018
164,78,Piccadilly Fillies,66,Ff,21:53.1,2018
165,79,Ortial Technologies Ltd,89,Xne,22:17.2,2018
166,80,Mowbray Magic,77,Xe,22:17.2,2018
167,81,Bedknobs & Broomsticks,70,Fe,22:18.0,2018
168,82,The JP Project,25,Xf,22:20.3,2018
169,83,HOPS - TEAM TOPHAT,90,Xe,22:22.3,2018
170,84,The Swiss Rolls,28,Mf,22:22.5,2018
171,85,Yorkshire Ambulance Service Charity,68,MA,23:00.1,2018
172,86,Straybirds,88,Fe,23:24.2,2018
173,87,Nidd Valley Zip 2 Zoomers,78,Fnfc,23:34.1,2018
174,88,Scrambled Legs,80,Xe,24:13.4,2018
175,89,Knaresborough Silver Band,75,Fe,28:12.8,2018
176,90,Harrogate Theatre,86,Me,DNF,2018
177,1,GH Brooks Men,1,Mf,13:40.9,2019
178,2,Knaresborough Striders Men,3,Mfc,14:38.0,2019
179,3,Ripon Runners Men,2,Mfc,15:02.9,2019
180,4,Nidd Valley Men's A,4,Mfc,15:09.0,2019
181,5,Guardian Alarms,8,Mf,15:50.3,2019
182,6,Flying Pullman,11,Xf,15:50.3,2019
183,7,The Half Moon,5,Mf,15:50.7,2019
184,8,David Lloyd Harrogate,7,Mf,16:00.1,2019
185,9,GH Brooks Pannal Mashups,66,Xf,16:03.6,2019
186,10,Oatlands Junior School - Men,9,Mf,16:12.4,2019
187,11,CNG1,16,Mf,16:20.5,2019
188,12,Nidd Valley Men's B,6,Mfc,16:28.8,2019
189,13,Blue Bullet Flyers,14,Xfc,16:43.9,2019
190,14,Parkrunners Mixed,15,Xf,16:49.8,2019
191,15,Knaresborough Rugby Club,10,Mf,16:49.8,2019
192,16,Welly Wheelers,55,Mf,16:56.5,2019
193,17,King James School,28,Mf,17:01.9,2019
194,18,The Plodders,17,Mf,17:21.4,2019
195,19,Scotton Scorchers JFC,26,Mf,17:23.6,2019
196,20,Harrogate Harriers Counting Sheep,13,Mfc,17:31.4,2019
197,21,Pannal Dental Clinic,24,Mf,17:42.6,2019
198,22,Ripon Fire Station,12,MA,17:58.4,2019
199,23,Six Pack,22,Mf,18:09.1,2019
200,24,HACS1,47,Me,18:13.1,2019
201,25,Forest School,60,Mne,18:16.2,2019
202,26,Welly Wheeners,45,Xf,18:27.4,2019
203,27,Stockeld Stags,46,Me,18:34.3,2019
204,28,Stray Blokes,59,Me,18:38.8,2019
205,29,Ripon Runners Girls,19,Ffc,18:45.8,2019
206,30,Meadowside Malingerers,21,Me,18:45.9,2019
207,31,Oatlands Infant School,25,Mf,18:47.8,2019
208,32,JPz Mini Disciples of Fitness,34,Mjf,18:58.6,2019
209,33,Stephenson's Rockets,18,Mf,19:14.2,2019
210,34,Ripon Runners Renegades,31,Xfc,19:16.4,2019
211,35,The Rocket Men,20,Me,19:25.9,2019
212,36,Techbuyer,23,Mf,19:29.1,2019
213,37,RAF Menwith Hill,37,MA,19:39.0,2019
214,38,The Juggernauts,41,Mf,19:42.9,2019
215,39,Welly Wheelettes,32,Ff,20:04.4,2019
216,40,Aspin Avengers,44,Me,20:15.0,2019
217,41,Belzona A,27,Mf,20:37.6,2019
218,42,AFF,35,Xf,21:03.3,2019
219,43,Ripley Castle Stormers,29,Mf,21:04.2,2019
220,44,6th Gear,40,Xf,21:05.0,2019
221,45,CEG,58,Me,21:09.0,2019
222,46,Piccadilly Players,56,Xe,21:11.0,2019
223,47,Harrogate Round Table,33,Me,21:18.2,2019
224,48,Nidd Valley Mixed B,30,Xnfc,21:24.4,2019
225,49,Knaresborough Striders Ladies,43,Ffc,21:27.8,2019
226,50,Team Nonno,64,Me,21:34.1,2019
227,51,Turner's Tearaways,42,Mf,21:55.9,2019
228,52,Tewit Youth Band,38,Mje,22:03.6,2019
229,53,Knaresborough Strollers,53,Mf,22:07.3,2019
230,54,The Transplants,57,Me,22:15.1,2019
231,55,Welly Wheelies,54,Xjf,22:16.0,2019
232,56,1st Scriven Scouts,52,Mjf,22:21.0,2019
233,57,Raworths Solicitors,51,Me,22:29.5,2019
234,58,Aspin Park Academy PTA Team B,73,Mne,22:52.4,2019
235,59,Yorkshire Cancer Centre Runners,68,Xf,22:59.6,2019
236,60,Park Street Pacers,67,XA,23:29.1,2019
237,61,Saint John's PTA A Team,49,Xe,23:32.1,2019
238,62,Redcentric,62,Mne,23:50.3,2019
239,63,Fountains Abbey and Brimham Rocks,82,Xne,24:10.0,2019
240,64,Parkrunners Girls,36,Fnf,24:13.7,2019
241,65,Between A Walk And A Hard Pace,61,Mne,24:18.2,2019
242,66,Belzona B,65,Xf,24:28.1,2019
243,67,Taylors of Harrogate,69,Xe,24:32.8,2019
244,68,Saint John's PTA B Team,50,Xe,24:47.8,2019
245,69,Knaresborough Air Cadets,90,Xne,25:04.8,2019
246,70,Meadowside Maidens,70,Fe,25:08.7,2019
247,71,Skylarks,71,Ff,25:31.3,2019
248,72,Richard Taylor Runners,80,Xe,25:43.4,2019
249,73,Harrogate Symphony Orchestra,75,Me,25:51.9,2019
250,74,Harrogate International Festivals,79,Xe,26:00.8,2019
251,75,Aspin Park Academy PTA Team A,72,Mne,26:13.1,2019
252,76,Nidd Valley Ladies,39,Fnfc,26:27.6,2019
253,77,Only When I Laugh,76,MA,27:09.7,2019
254,78,The Ortial Flyers,77,Me,27:22.4,2019
255,79,HACS2,48,Xe,27:58.4,2019
256,80,Platinumsprint,86,Fne,28:16.7,2019
257,81,Straybirds,87,Fe,28:29.5,2019
258,82,Scrambled Legs,88,Xe,28:47.8,2019
259,83,Mowbray Magic,78,Xf,28:51.1,2019
260,84,Baroque Harrogate & Ripon,74,Me,28:51.8,2019
261,85,CNG2,63,Me,29:08.7,2019
262,86,God's Own,83,Xne,30:32.8,2019
263,87,Innovate Fitness,85,Fne,31:06.6,2019
264,88,Signa Technologies,81,Xe,31:13.4,2019
265,89,St Michael's Hospice,84,Fne,31:40.3,2019
266,90,Knaresborough Silver Band,89,Xe,35:04.6,2019
267,1,GH Brooks Men,1,Mf,12:59.3,2022
268,2,Ripon Runners Men,3,Mf,13:36.5,2022
269,3,Knaresborough Striders Men,2,Mf,13:53.6,2022
270,4,Nidd Valley Men's A,4,Mf,14:11.0,2022
271,5,Flying Pullman,6,Xf,14:49.4,2022
272,6,Welly Wheelers,15,Mf,15:14.4,2022
273,7,Early Bird Run Crew Harrogate,10,Mf,15:20.3,2022
274,8,The Half Moon,7,Mf,15:33.9,2022
275,9,Nidd Valley Junior Runners,16,Mjf,15:37.0,2022
276,10,It's a COP-Out,23,Mnf,15:40.1,2022
277,11,GH Brooks Mixed,8,Me,15:41.2,2022
278,12,Harrogate Tri Club,20,Mf,15:41.2,2022
279,13,Techbuyer,35,Mf,16:03.1,2022
280,14,Guardian Alarms,5,Mf,16:11.6,2022
281,15,Knaresborough Rugby Club,14,Mf,16:26.6,2022
282,16,The Forest School,24,Mf,16:39.4,2022
283,18,Welly Wheeners,26,Xf,16:48.3,2022
284,19,Parkrunners,12,Xf,16:54.0,2022
285,20,St John Fisher’s Catholic High School,55,Me,16:56.6,2022
286,21,Knaresborough Striders Mixed,25,Xf,17:09.8,2022
287,22,Nidd Valley Men's B,9,Mf,17:26.3,2022
288,23,Piccadilly Fillies,83,Fe,17:29.6,2022
289,24,Wetherby Runners AC,28,Mnf,17:36.9,2022
290,25,Energy Personified,21,Mf,17:39.9,2022
291,26,Riverside Runners,17,Mf,17:48.9,2022
292,27,The Rocket Men,34,Me,17:49.4,2022
293,28,Supplies Web – Business Products and Services,22,Mf,17:50.0,2022
294,29,Welly Wheelies,37,Fjf,17:57.8,2022
295,30,Ripon Runners Girls,27,Ff,18:03.4,2022
296,31,Scotton Scorchers JFC,18,Me,18:08.7,2022
297,32,SFC,13,Xf,18:09.5,2022
298,33,Blue Bullet Flyers,11,Mf,18:11.7,2022
299,34,Nidd Valley Ladies,29,Ff,18:25.4,2022
300,35,Oxfam,31,Me,18:37.7,2022
301,36,Piccadilly Players,49,Me,18:42.0,2022
302,37,Aspin Owlers,66,Xe,19:07.1,2022
303,38,Monkton Meanderers,59,Xf,19:08.0,2022
304,39,Harrogate Town AFC Community Foundation,51,Xnf,19:09.9,2022
305,40,Blind Jack Explorer Scouts,30,Mnf,19:18.8,2022
306,41,De Vere Hotels,58,Xe,19:21.1,2022
307,42,HACS2,45,Xe,19:24.1,2022
308,43,Meadowside Malingerers,32,Me,19:33.1,2022
309,44,HACS1,44,Me,19:35.6,2022
310,45,Welly Wheelettes,39,Ff,19:39.4,2022
311,46,FOKSJ A Team,68,Xe,19:49.3,2022
312,47,Knaresborough Silver Band,86,Me,19:49.8,2022
313,48,Aspin Avengers,40,Xe,19:56.1,2022
314,49,1st Knaresborough Scouts,63,Mje,20:01.7,2022
315,50,Raworths,64,Me,20:09.7,2022
316,51,Hoyer,56,Me,20:35.0,2022
317,52,Harrogate Symphony Orchestra,76,Xe,20:37.0,2022
318,53,Juggernauts,53,Xe,20:38.1,2022
319,54,1st Scriven Scouts sponsored by AMEY,62,Mje,20:54.3,2022
320,55,Knaresborough Revolution,50,Mf,21:01.1,2022
321,56,Ortial Technologies,78,Me,21:02.1,2022
322,57,Welly Warriors,38,Mf,21:10.1,2022
323,58,Badgered Into Running,42,Xf,21:36.7,2022
324,59,Dave's Dream Team,73,Xe,21:37.8,2022
325,60,Pelsis,46,Xf,21:41.3,2022
326,61,Aspin Angels,67,Xe,21:58.6,2022
327,62,Rogue Red Kite Runners,80,Fe,22:02.1,2022
328,63,Knaresborough Air Cadets,74,Xje,22:12.0,2022
329,64,FOKSJ B Team,69,Xe,22:19.4,2022
330,65,Scrambled Legs,79,Xe,22:31.8,2022
331,66,Harrogate Round Table,52,Me,23:00.8,2022
332,67,50 Shades of Green,70,Xe,23:03.6,2022
333,68,Turner's Tearaways,54,Me,23:18.6,2022
334,69,AFF (Armed Forces Fitness),41,Me,23:33.5,2022
335,70,Tewit Youth Band,61,Mje,23:33.5,2022
336,71,HGATE Challengers,81,Fe,23:43.2,2022
337,72,Fountains Abbey and Brimham Rocks,65,Xe,23:51.1,2022
338,73,HENCHshaws,71,Xne,23:51.1,2022
339,74,St Michael's Hospice (North Yorkshire Hospice Care),85,Xe,24:07.4,2022
340,75,Meadowside Maidens,75,Fe,24:59.6,2022
341,76,Make It Wild,84,Xe,25:09.8,2022
342,77,RAF Menwith Hill,36,Xe,25:28.2,2022
343,78,Kate's Crew,82,Fne,25:34.4,2022
344,79,North Yorkshire Horizons,60,Xe,29:05.5,2022
345,1,GH Brooks Men,1,Mf,13:05,2023
346,2,Ripon Runners Men,2,Mf,13:23,2023
347,3,GH Brooks 2,10,Mf,14:29,2023
348,4,Early Bird Run Crew Harrogate,7,Mf,15:05,2023
349,5,The Half Moon,8,Mf,15:17,2023
350,6,Nidd Valley Men,4,Mf,15:20,2023
351,7,Nidd Valley Junior Runners,9,Mjf,15:20,2023
352,8,Welly Wheelers,6,Mf,15:28,2023
353,9,The Forest School,13,Mf,15:43,2023
354,10,Riverside Runners,15,Mf,16:18,2023
355,11,Harrogate Harriers - Grumpy Old Folk,14,Mf,16:31,2023
356,12,Park Runners,19,Xf,16:56,2023
357,13,Stockeld Stags,18,Mf,17:13,2023
358,14,Knaresborough Rugby Club,12,Mf,17:20,2023
359,15,Welly Wheeners,17,Xf,17:36,2023
360,16,Guardian Alarms,11,Mf,17:48,2023
361,17,Consultio / Consultius,21,Mf,17:58,2023
362,18,St John Fisher's Catholic High School,20,Mf,18:08,2023
363,19,Blue Bullet Flyers,26,Mf,18:10,2023
364,20,Nidd Valley Mixed Junior Runners,30,Xjnf,18:18,2023
365,21,Run Forrest Run!,23,Mnf,18:36,2023
366,22,Raworth Solicitors,60,Me,18:37,2023
367,23,Scotton Scorchers,25,Mf,18:38,2023
368,24,Brimhams Active,16,Mf,18:40,2023
369,25,Monkton Meanderers,34,Xe,18:50,2023
370,26,Ripon Runners Ladies,24,Ff,18:50,2023
371,27,Harrogate Town AFC Community Foundation,35,Xe,18:51,2023
372,28,Nidd Valley Clownettes,31,Ff,18:57,2023
373,29,HACS1,39,Me,19:06,2023
374,30,Piccadilly Players,27,Mf,19:12,2023
375,31,Knaresborough Striders Ladies,70,Ff,19:16,2023
376,32,1st Knaresborough Scouts,58,Me,19:28,2023
377,33,The Wanderers,38,Xe,19:47,2023
378,34,The Rocket Men,22,Mf,19:48,2023
379,35,Nidd Valley Show Girls,37,Ff,20:16,2023
380,36,King James's School (6th Form),65,Mne,20:17,2023
381,37,Piston Broke,55,Xe,20:25,2023
382,38,Knaresborough Revolution,69,Mf,20:30,2023
383,39,Welley Wheelettes,41,Ff,20:31,2023
384,40,FOKSJ B Team,47,Xe,20:32,2023
385,41,DMfitness,36,Xe,21:01,2023
386,42,FOKSJ A Team,46,Xe,21:19,2023
387,43,Aspin Avengers,54,Xe,21:19,2023
388,44,Aspin Owls,43,Xe,21:27,2023
389,45,Piccadilly Plodders,51,Xe,21:33,2023
390,46,1st Scriven Scouts,68,Xje,21:49,2023
391,47,Schofield Fitness,33,Me,21:56,2023
392,48,Knaresborough Silver Band,53,Mje,22:06,2023
393,49,HACS2,40,Me,22:13,2023
394,50,KJS Year 10,81,Mjne,22:17,2023
395,51,Saint Michael's Hospice,93,Xe,22:19,2023
396,52,HGS Science,52,Xf,22:32,2023
397,53,Morrisons,86,Xe,22:40,2023
398,54,Fountains Abbey and Brimham Rocks,83,Xe,22:52,2023
399,55,Scrambled Legs,74,Me,22:52,2023
400,56,Henchshaws,84,Xe,22:56,2023
401,57,Tewit Youth Band,82,Xje,22:59,2023
402,58,Knaresborough Striders Joggers,91,Xne,23:06,2023
403,59,Welly Warriors,42,Mf,23:09,2023
404,60,Harrogate Roundtable,75,Me,23:12,2023
405,61,Harrogate Symphony Orchestra,66,Xe,23:12,2023
406,62,Turner's Tearaways,77,Me,23:17,2023
407,63,Feather Smailes Scales,45,Xnf,23:36,2023
408,64,Meadowside Maidens,50,Xe,23:52,2023
409,65,Make It Wild,95,Xe,23:54,2023
410,66,Knaresborough Air Cadets,73,Xje,24:03,2023
411,67,All Saints Primary School Kirkby Overblow,62,Xne,24:11,2023
412,68,Aspin Angels,44,Xe,24:13,2023
413,69,Scared Sheetless,32,Me,24:31,2023
414,70,Meadowside Malingers,49,Xe,24:37,2023
415,71,Menwith Hill,72,Xe,24:38,2023
416,72,Juggernauts,67,Xe,25:16,2023
417,73,Taylors,87,Xe,25:22,2023
418,74,Live For Today,61,Xe,25:36,2023
419,75,North Yorkshire Horizons,96,Xe,26:02,2023
420,76,Northern Monk,85,Xe,26:03,2023
421,77,MOGS,90,Fe,26:05,2023
422,78,RHS Harlow Carr,88,Xe,26:15,2023
423,79,Bedder Late Than Never,57,Xe,26:27,2023
424,80,Switalskis,92,Fne,26:35,2023
425,81,Ain’t nothing but a work crew,64,Me,26:57,2023
426,82,HOPS,59,Xe,27:01,2023
427,83,The Hookstone Chasers,80,Xne,27:03,2023
428,84,Armed Forces Fitness (AFF),78,Xe,27:04,2023
429,85,The Lightfoot Light Feet,56,Xe,27:22,2023
430,1,GH Brooks men,1,Mf,13:02.9,2024
431,2,Knaresborough Striders Men's Team,3,Mfc,13:27.6,2024
432,3,Nidd Valley Men's,2,Mfc,13:44.2,2024
433,4,Harrogate Harriers Grumpy Old Folk,8,Mfc,15:03.8,2024
434,5,The Half Moon Pub,4,Mf,15:15.6,2024
435,6,Welly Wheelers,6,Mf,15:50.8,2024
436,7,Parkrunners,10,Xf,16:01.3,2024
437,8,Riverside Runners,7,Mf,16:02.6,2024
438,9,Raworths Solicitors,22,Mf,16:35.8,2024
439,10,Harrogate Harriers Harmony Energy Run Harrogate 10k,9,Xfc,16:37.7,2024
440,11,Crag Rats,5,Mf,16:38.3,2024
441,12,St John Fisher's Catholic High School,18,Mf,16:42.5,2024
442,13,Ripon Runners Ladies,28,Ffc,16:48.0,2024
443,14,Knaresborough RUFC,13,Mf,16:55.1,2024
444,15,Guardian Alarms,14,Mf,16:56.8,2024
